gene_id gene_name pvalue
ENSG00000000003.10 TSPAN6 1.60322461444419e-4
ENSG00000000419.8 DPM1 0.695950593727733
ENSG00000000457.9 SCYL3 0.226583012623585
ENSG00000000460.12 C1orf112 0.692445339452226
ENSG00000000938.8 FGR 0.231346219134499
ENSG00000000971.11 CFH 0.145433475240092
ENSG00000001036.9 FUCA2 0.350823052389479
ENSG00000001084.6 GCLC 0.734642352329493
ENSG00000001167.10 NFYA 0.20217447339816
ENSG00000001460.13 STPG1 0.408763780985242
ENSG00000001461.12 NIPAL3 0.0893590814593236
ENSG00000001497.12 LAS1L 0.37988834960026
ENSG00000001561.6 ENPP4 0.138709569346428
ENSG00000001617.7 SEMA3F 0.0223069658499692
ENSG00000001626.10 CFTR 0.462078271359562
ENSG00000001629.5 ANKIB1 0.741477018549476
ENSG00000001630.11 CYP51A1 0.227138665633096
ENSG00000001631.10 KRIT1 0.308626831883836
ENSG00000002016.12 RAD52 0.478256183214475
ENSG00000002330.9 BAD 0.727074916646324
ENSG00000002549.8 LAP3 0.0169435366619072
ENSG00000002586.13 CD99 0.0342299772440574
ENSG00000002587.5 HS3ST1 0.388500692352305
ENSG00000002745.8 WNT16 0.984723378245596
ENSG00000002746.10 HECW1 0.00729420104740587
ENSG00000002822.11 MAD1L1 0.235844598340559
ENSG00000002834.13 LASP1 0.294875569999788
ENSG00000002919.10 SNX11 0.874983655028491
ENSG00000002933.3 TMEM176A 0.0014262362711573
ENSG00000003056.3 M6PR 0.683422096111385
ENSG00000003096.9 KLHL13 0.0605247616038607
ENSG00000003137.4 CYP26B1 0.0372249493271616
ENSG00000003147.13 ICA1 0.251383632950491
ENSG00000003249.9 DBNDD1 0.298913681455273
ENSG00000003393.10 ALS2 0.72572635726022
ENSG00000003400.10 CASP10 0.942062089105545
ENSG00000003402.15 CFLAR 0.0100163072493147
ENSG00000003436.10 TFPI 0.0529822507681599
ENSG00000003509.11 NDUFAF7 0.435201337172708
ENSG00000003756.12 RBM5 0.332245328786702
ENSG00000003987.9 MTMR7 0.0746839145099543
ENSG00000003989.12 SLC7A2 0.0245296442187511
ENSG00000004059.6 ARF5 0.0162409250368328
ENSG00000004139.9 SARM1 0.591812924122986
ENSG00000004142.7 POLDIP2 0.354597060427741
ENSG00000004399.8 PLXND1 0.324192067537536
ENSG00000004455.12 AK2 0.322058211922306
ENSG00000004468.8 CD38 0.932063967796998
ENSG00000004478.5 FKBP4 0.0223423707320301
ENSG00000004487.11 KDM1A 0.215818116313986
ENSG00000004534.10 RBM6 0.350641077169895
ENSG00000004660.10 CAMKK1 0.0539441011614507
ENSG00000004700.11 RECQL 0.316779619924233
ENSG00000004766.11 CCDC132 0.483798753025747
ENSG00000004776.7 HSPB6 0.102740416471337
